Company,Website,People,Apps,Number of Apps,Type,Users,Flutter Engineers,Industry,Location,Company Size,Jobs,Source
BMW,https://www.bmw.com/en/index.html,Dr. Nicolai Kraemer - Vice President Offboard Platform BMW Group,"My BMW - https://apps.apple.com/us/app/my-bmw/id1519457734
Mini - https://apps.apple.com/ca/app/mini/id1519458349",2,"Auto companion
Auto companion",,,Automotive,Global,"118,909",,https://flutter.dev/showcase/bmw
Abbey Road Studios,https://www.abbeyroad.com/,,Topline - https://apps.apple.com/us/app/topline/id1270125833,1,Multitrack audio recording app,,,Music,"London, UK",101-250,,https://flutter.dev/showcase/abbey-road-studios
Alibaba Group,https://goofish.com/,"Xinyi Guo - Senior Project Manager
Jidong Chen - Senior Engineer",Xianyu - https://apps.apple.com/cn/app/%E9%97%B2%E9%B1%BC-%E9%97%B2%E4%B8%8D%E4%BD%8F-%E4%B8%8A%E9%97%B2%E9%B1%BC/id510909506,1,Used goods e-commerce,50 million,,e-Commerce,China,"254,941",,https://flutter.dev/showcase/alibaba-group
Beike Zhaofang,https://bj.ke.com/,"Cacter Zhao - Senior Engineer
Jiahang Zhao - Software Engineer
Diana Wang - Senior Product Manager
Dong Shao - Senior Engineer
Dean Zhang - App Platform Manager","Beike app
Beiwo Home Furnishing - https://home.ke.com/",2,"Apartment rentals app
Home improvement services and construction
",,100,Housing service platform,"Chengdu, China
Shanghai, China","1,327",,https://flutter.dev/showcase/beike
Google,https://pay.google.com/intl/en_ca/about/,"David Ko - Engineering Director, Google Pay
Martin Aguinis - Marketing Lead
",Google Pay - https://apps.apple.com/us/app/google-pay-save-pay-manage/id1193357041,1,Payment app,100 million,180,"Technology, Fin-tech","California, USA","150,028",,https://flutter.dev/showcase/google-pay
Byte Dance,https://www.bytedance.com/en/,"Jonathan Dong - Flutter Infra Tech Lead
Ying Wang - Flutter Infra Engineer
Dawei Bi - Dali Education Smart Device Lab Tech Lead
Ying Wang - Flutter Infra Engineer
Swain Sun - Flutter Infra Engineer
","JIKE Mistakes Printer
JIKE Sacn Master
Alchemy
Douyin Huoshan
Lark - https://apps.apple.com/us/app/lark-collaboration-tool/id1452166623
Xingfuli
DaliJiaZhang
Xiaohe
Volcano
Xigua Video - https://www.ixigua.com/?wid_try=1",90+,"IoT pinter software
IoT scanner software
Internal tool for content generation (Art)
Social Videos
Collaboration, communication, video conferecing, document-sharing, project management, productivity tools
Property rentals
Unknown
Unknown
Business search engine
Videos",,800+,Technology,China,"10,000+","https://www.linkedin.com/jobs/view/flutter-engineer-lark-innovations-at-bytedance-3050251209/
https://jobs.bytedance.com/en/position/6927382086944852232/detail
https://jobs.bytedance.com/en/position/6927381614780041479/detail",https://flutter.dev/showcase/bytedance
Google,https://play.google.com/store/apps/details?id=com.google.android.apps.village.boond,,Crowdsource - https://play.google.com/store/apps/details?id=com.google.android.apps.village.boond,,Gamified AI Training,3 million,,,"California, USA",,,https://flutter.dev/showcase/crowdsource
Dream11,https://www.dream11.com/,"Amit Sharma - CTO
Nishel Mehta - AVP Growth
Barkha Sikka - SDE 2 Growth
Shouvik Ghosh Roy - AVP Growth
Rajeev Mishra - SDE 3 Growth","Dream11 - https://apps.apple.com/in/app/dream11-fantasy-cricket-app/id1077286074
Power Predictor",,"Fantasy Sports
Cricket Prediction Game",50 million,3,Gaming,"Mumbai, Indai",,,https://flutter.dev/showcase/dream11
Ebay,https://www.ebay.com/,Corey Sprague - Senior iOS Engineer,eBay Motors - https://apps.apple.com/us/app/ebay-motors-parts-cars-more/id1456156090,,Automotive Marketplace,,,Online marketplace,"San Jose, California, USA","10,800",,https://flutter.dev/showcase/ebay
Posse,https://blog.goposse.com/,"Mike Karns - Digital Engagement
Posse - Development studio
David DeRember - Founding Partner, Posse
Jessica Wagner - Manager, Posse
Albert Lardizabal - Lead Developer, Posse",Hamilton - https://apps.apple.com/us/app/hamilton-the-official-app/id1255231054,,Musical App,,2-3,Music,USA,,,https://flutter.dev/showcase/hamilton